Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
52,Marques Bolden,C,25,CHO,2,0,13,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,1,1,0
53,Devin Booker,PG,27,PHO,60,60,2142,571,1161,0.492,128,354,0.362,443,807,0.549,0.547,348,395,0.881,49,237,286,413,52,26,151,184,1618
54,Brandon Boston Jr.,SF,22,LAC,26,0,221,41,97,0.423,9,30,0.3,32,67,0.478,0.469,15,22,0.682,11,19,30,7,4,7,11,27,106
55,Chris Boucher,PF,31,TOR,50,0,705,110,217,0.507,31,94,0.33,79,123,0.642,0.578,71,92,0.772,62,145,207,23,14,24,28,68,322
56,James Bouknight,SG,23,CHO,14,0,81,18,41,0.439,13,30,0.433,5,11,0.455,0.598,1,2,0.5,1,8,9,6,1,1,2,3,50
57,Jamaree Bouyea,PG,24,POR,6,0,57,5,21,0.238,0,8,0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10
58,Malaki Branham,PG,20,SAS,70,24,1431,241,563,0.428,78,233,0.335,163,330,0.494,0.497,53,59,0.898,27,108,135,149,25,7,82,84,613
59,Christian Braun,SG,22,DEN,75,2,1466,198,432,0.458,53,141,0.376,145,291,0.498,0.52,85,123,0.691,69,204,273,107,36,32,51,127,534
60,Mikal Bridges,SF,27,BRK,75,75,2661,535,1223,0.437,203,551,0.368,332,672,0.494,0.52,252,310,0.813,64,289,353,277,77,28,157,110,1525
61,Miles Bridges,SF,25,CHO,63,61,2376,517,1120,0.462,147,418,0.352,370,702,0.527,0.527,160,197,0.812,67,401,468,208,63,30,128,111,1341
62,Oshae Brissett,SF,25,BOS,48,1,561,59,130,0.454,15,51,0.294,44,79,0.557,0.512,43,67,0.642,51,86,137,38,16,5,15,49,176
63,Izaiah Brockington,PG,24,NOP,1,0,3,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,1,1,2,0,0,0,0,0,4
64,Malcolm Brogdon,PG,31,POR,39,25,1121,218,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613
65,Armoni Brooks,PG,25,BRK,10,0,104,15,46,0.326,11,32,0.344,4,14,0.286,0.446,1,2,0.5,7,11,18,5,1,1,3,3,42
66,Dillon Brooks,SF,28,HOU,65,65,2004,297,692,0.429,118,333,0.354,179,359,0.499,0.514,111,132,0.841,47,177,224,109,56,9,82,211,823
67,Bruce Brown,SG-PG,27,TOT,62,43,1748,257,546,0.471,51,156,0.327,206,390,0.528,0.517,111,132,0.841,52,217,269,181,56,17,80,137,676
67,Bruce Brown,SG,27,IND,33,33,981,149,314,0.475,33,101,0.327,116,213,0.545,0.527,67,82,0.817,25,129,154,100,35,8,41,81,398
67,Bruce Brown,PG,27,TOR,29,10,767,108,232,0.466,18,55,0.327,90,177,0.508,0.504,44,50,0.88,27,88,115,81,21,9,39,56,278
68,Charlie Brown Jr.,SG,26,NYK,8,0,37,2,10,0.2,2,7,0.286,0,3,0,0.3,0,0,,1,1,2,0,0,2,2,5,6
69,Greg Brown III,PF,22,DAL,6,0,40,5,11,0.455,1,3,0.333,4,8,0.5,0.5,4,9,0.444,3,6,9,4,0,4,4,5,15
70,Jaylen Brown,SF,27,BOS,66,66,2216,595,1185,0.502,138,385,0.358,457,800,0.571,0.56,204,291,0.701,78,286,364,239,77,32,151,173,1532
71,Kendall Brown,SG,20,IND,12,0,43,6,10,0.6,0,1,0,6,9,0.667,0.6,5,8,0.625,3,1,4,4,0,0,1,5,17
72,Kobe Brown,PF,24,LAC,38,0,299,26,65,0.4,12,39,0.308,14,26,0.538,0.492,1,2,0.5,10,37,47,17,6,3,7,42,65
73,Moses Brown,C,24,POR,19,4,167,24,51,0.471,0,0,,24,51,0.471,0.471,6,25,0.24,30,39,69,6,3,7,8,22,54
74,Troy Brown Jr.,SF,24,TOT,51,7,632,71,181,0.392,41,120,0.342,30,61,0.492,0.506,28,33,0.848,19,92,111,49,12,2,26,35,211
74,Troy Brown Jr.,SF,24,MIN,37,3,410,52,118,0.441,31,84,0.369,21,34,0.618,0.572,19,22,0.864,14,58,72,35,8,2,18,26,154
74,Troy Brown Jr.,SF,24,DET,14,4,222,19,63,0.302,10,36,0.278,9,27,0.333,0.381,9,11,0.818,5,34,39,14,4,0,8,9,57
75,Jalen Brunson,PG,27,NYK,69,69,2421,692,1448,0.478,188,470,0.4,504,978,0.515,0.543,353,420,0.84,39,209,248,449,63,13,165,130,1925
76,Thomas Bryant,C,26,MIA,37,4,418,78,139,0.561,4,21,0.19,74,118,0.627,0.576,39,45,0.867,37,94,131,22,10,15,19,45,199
77,Kobe Bufkin,SG,20,ATL,9,0,89,13,37,0.351,5,17,0.294,8,20,0.4,0.419,2,4,0.5,2,12,14,15,3,1,5,6,33
78,Reggie Bullock,SF,32,HOU,36,0,346,30,74,0.405,24,60,0.4,6,14,0.429,0.568,1,1,1,6,59,65,13,9,3,8,20,85
79,Alec Burks,SG,32,TOT,62,1,1181,209,561,0.373,123,326,0.377,86,235,0.366,0.482,143,165,0.867,24,121,145,84,25,12,46,74,684
79,Alec Burks,SG,32,DET,43,0,901,160,406,0.394,99,247,0.401,61,159,0.384,0.516,121,134,0.903,16,94,110,68,21,11,32,64,540
79,Alec Burks,SG,32,NYK,19,1,280,49,155,0.316,24,79,0.304,25,76,0.329,0.394,22,31,0.71,8,27,35,16,4,1,14,10,144
80,Jared Butler,SG,23,WAS,33,0,408,67,139,0.482,16,56,0.286,51,83,0.614,0.54,21,24,0.875,6,32,38,92,19,5,40,40,171
81,Jimmy Butler,PF,34,MIA,52,52,1762,348,696,0.5,50,121,0.413,298,575,0.518,0.536,348,407,0.855,95,184,279,253,72,17,86,61,1094
82,Jamal Cain,PF,24,MIA,22,1,253,34,79,0.43,11,31,0.355,23,48,0.479,0.5,18,23,0.783,15,21,36,10,10,5,8,21,97
83,Kentavious Caldwell-Pope,SG,30,DEN,69,69,2195,240,528,0.455,111,274,0.405,129,254,0.508,0.56,100,109,0.917,29,138,167,168,93,37,69,135,691
84,Toumani Camara,PF,23,POR,70,49,1739,197,438,0.45,58,172,0.337,139,266,0.523,0.516,75,99,0.758,139,204,343,87,66,33,84,174,527
85,Clint Capela,C,29,ATL,66,66,1684,318,561,0.567,0,1,0,318,560,0.568,0.567,115,179,0.642,310,386,696,79,38,100,64,154,751
86,Jevon Carter,PG,28,CHI,67,0,917,126,327,0.385,70,208,0.337,56,119,0.471,0.492,4,7,0.571,8,46,54,79,33,14,34,67,326
87,Wendell Carter Jr.,C,24,ORL,47,41,1217,191,365,0.523,53,141,0.376,138,224,0.616,0.596,86,123,0.699,95,236,331,81,28,25,60,100,521
88,D.J. Carton,SG,23,TOR,4,0,36,3,8,0.375,1,4,0.25,2,4,0.5,0.438,4,5,0.8,2,2,4,3,1,0,1,3,11
89,Alex Caruso,SG,29,CHI,66,52,1864,236,501,0.471,126,309,0.408,110,192,0.573,0.597,70,92,0.761,58,195,253,216,108,66,93,170,668
90,Colin Castleton,C,23,LAL,10,0,45,7,11,0.636,0,0,,7,11,0.636,0.636,4,4,1,4,6,10,3,1,0,2,10,18
91,Malcolm Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
92,Julian Champagnie,SF,22,SAS,67,52,1237,134,338,0.396,88,239,0.368,46,99,0.465,0.527,58,71,0.817,38,137,175,85,41,36,47,70,414
93,Justin Champagnie,SF,22,WAS,10,1,151,20,50,0.4,10,32,0.313,10,18,0.556,0.5,10,12,0.833,11,18,29,12,6,6,9,12,60
94,Max Christie,SG,20,LAL,61,7,909,97,225,0.431,40,111,0.36,57,114,0.5,0.52,34,44,0.773,13,120,133,55,18,16,35,56,268
95,Sidy Cissoko,SF,19,SAS,6,0,32,1,6,0.167,0,4,0,1,2,0.5,0.167,4,4,1,0,6,6,0,3,0,1,2,6
96,Brandon Clarke,PF,27,MEM,2,0,41,9,16,0.563,0,2,0,9,14,0.643,0.563,1,3,0.333,3,6,9,4,2,1,0,3,19
97,Jordan Clarkson,SG,31,UTA,55,19,1682,337,816,0.413,91,309,0.294,246,507,0.485,0.469,177,201,0.881,49,139,188,277,35,6,146,81,942
98,Nic Claxton,C,24,BRK,65,65,1939,341,543,0.628,1,5,0.2,340,538,0.632,0.629,103,180,0.572,180,462,642,134,46,131,80,163,786
99,Noah Clowney,PF,19,BRK,16,0,164,18,40,0.45,4,16,0.25,14,24,0.583,0.5,8,12,0.667,11,25,36,9,4,3,6,12,48
100,Amir Coffey,SF,26,LAC,62,11,1216,136,270,0.504,58,140,0.414,78,130,0.6,0.611,49,56,0.875,23,94,117,67,33,11,30,86,379
101,John Collins,PF,26,UTA,68,66,1901,397,746,0.532,86,232,0.371,311,514,0.605,0.59,147,185,0.795,157,418,575,77,40,61,98,191,1027
102,Zach Collins,C,26,SAS,62,27,1384,261,545,0.479,51,164,0.311,210,381,0.551,0.526,109,146,0.747,105,217,322,177,31,45,120,192,682
103,Mike Conley,PG,36,MIN,69,69,1997,265,582,0.455,158,364,0.434,107,218,0.491,0.591,91,101,0.901,32,164,196,417,78,15,81,117,779
104,Pat Connaughton,SF,31,MIL,68,2,1473,135,295,0.458,75,203,0.369,60,92,0.652,0.585,36,49,0.735,43,170,213,137,34,16,43,84,381
105,Bilal Coulibaly,SF,19,WAS,63,15,1715,188,432,0.435,64,185,0.346,124,247,0.502,0.509,92,131,0.702,56,200,256,110,57,48,87,137,532
106,Ricky Council IV,SG,22,PHI,27,0,236,47,98,0.48,9,27,0.333,38,71,0.535,0.526,50,68,0.735,13,28,41,11,2,1,4,13,153
107,Robert Covington,SF-PF,33,TOT,29,6,488,43,98,0.439,19,56,0.339,24,42,0.571,0.536,22,26,0.846,31,66,97,24,39,18,11,56,127
107,Robert Covington,PF,33,LAC,3,3,69,3,9,0.333,2,8,0.25,1,1,1,0.444,1,2,0.5,2,6,8,7,6,2,0,7,9
107,Robert Covington,SF,33,PHI,26,3,419,40,89,0.449,17,48,0.354,23,41,0.561,0.545,21,24,0.875,29,60,89,17,33,16,11,49,118
108,Torrey Craig,SF,33,CHI,46,13,934,100,230,0.435,56,143,0.392,44,87,0.506,0.557,25,33,0.758,63,127,190,52,26,19,29,99,281
109,Jae Crowder,PF,33,MIL,43,23,999,101,228,0.443,51,140,0.364,50,88,0.568,0.555,21,29,0.724,23,116,139,59,35,7,19,70,274
110,Jalen Crutcher,PG,24,NOP,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
111,Cade Cunningham,PG,22,DET,61,61,2040,511,1145,0.446,116,331,0.35,395,814,0.485,0.497,231,266,0.868,32,232,264,456,54,21,208,152,1369
112,Seth Curry,SG,33,TOT,44,4,616,80,204,0.392,38,108,0.352,42,96,0.438,0.485,28,31,0.903,18,50,68,44,22,6,21,39,226
112,Seth Curry,SG,33,DAL,36,3,457,54,145,0.372,29,80,0.363,25,65,0.385,0.472,17,19,0.895,15,37,52,30,17,3,16,32,154
112,Seth Curry,SG,33,CHO,8,1,159,26,59,0.441,9,28,0.321,17,31,0.548,0.517,11,12,0.917,3,13,16,14,5,3,5,7,72
113,Stephen Curry,PG,35,GSW,68,68,2223,600,1336,0.449,329,816,0.403,271,520,0.521,0.572,279,302,0.924,36,257,293,340,49,22,191,108,1808
114,Dyson Daniels,PG,20,NOP,53,15,1149,113,259,0.436,32,112,0.286,81,147,0.551,0.498,32,50,0.64,54,140,194,138,74,21,53,85,290
115,Anthony Davis,C,30,LAL,70,70,2511,660,1190,0.555,27,94,0.287,633,1096,0.578,0.566,381,467,0.816,219,670,889,249,81,167,144,163,1728
116,Johnny Davis,SG,21,WAS,44,2,498,48,132,0.364,8,32,0.25,40,100,0.4,0.394,9,15,0.6,18,45,63,24,14,9,8,39,113
117,JD Davison,SG,21,BOS,6,0,11,2,3,0.667,2,3,0.667,0,0,,1,2,2,1,1,2,3,1,0,0,0,1,8
118,Dexter Dennis,SG,24,DAL,4,0,30,10,19,0.526,1,8,0.125,9,11,0.818,0.553,1,3,0.333,1,8,9,4,0,1,3,1,22
